AI-2020~FI-2005  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.198669e+01 	 7.621021e-02 	 3.526131e-02 	  0.000000e+00 	 2.460412e-01
1.078833e+01 	 6.962586e-02 	 2.746158e-02 	  0.000000e+00 	 1.860941e-01
9.709767e+00 	 5.890506e-02 	 1.438928e-02 	  0.000000e+00 	 9.235843e-02
8.739037e+00 	 7.051556e-02 	 2.403022e-02 	  0.000000e+00 	 1.477044e-01
7.865355e+00 	 7.355025e-02 	 2.750319e-02 	  0.000000e+00 	 1.706604e-01
7.079019e+00 	 7.082548e-02 	 2.711333e-02 	  0.000000e+00 	 1.772280e-01
6.371296e+00 	 6.809145e-02 	 2.577604e-02 	  0.000000e+00 	 1.740481e-01
5.734328e+00 	 6.490383e-02 	 2.187141e-02 	  0.000000e+00 	 1.452220e-01
5.161041e+00 	 6.314178e-02 	 1.923141e-02 	  0.000000e+00 	 1.251398e-01
4.645068e+00 	 6.181744e-02 	 1.725726e-02 	  0.000000e+00 	 1.106564e-01
4.180679e+00 	 6.016773e-02 	 1.208295e-02 	  0.000000e+00 	 7.179875e-02
3.762717e+00 	 6.124115e-02 	 1.358946e-02 	  0.000000e+00 	 8.148459e-02
3.386540e+00 	 5.455475e-02 	 1.010285e-02 	  0.000000e+00 	 6.493892e-02
3.047972e+00 	 5.013967e-02 	 3.008370e-03 	  0.000000e+00 	 1.823784e-02
2.743252e+00 	 5.120507e-02 	 7.536937e-03 	  0.000000e+00 	 4.931533e-02
2.468997e+00 	 5.459500e-02 	 9.097377e-03 	  0.000000e+00 	 5.713196e-02
2.222160e+00 	 5.426620e-02 	 8.176031e-03 	  0.000000e+00 	 5.068575e-02
2.000000e+00 	 5.426620e-02 	 8.176031e-03 	  0.000000e+00 	 0.000000e+00
 
AI-2020~FIC-2004  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 5.469289e-01 	 4.975954e-01 	  4.482619e-01 	 2.472454e+00
9.000254e+02 	 5.463518e-01 	 4.970183e-01 	  4.476848e-01 	 2.531890e+00
8.100456e+02 	 5.456404e-01 	 4.963069e-01 	  4.469734e-01 	 2.584734e+00
7.290616e+02 	 5.447637e-01 	 4.954302e-01 	  4.460967e-01 	 2.630523e+00
6.561739e+02 	 5.436839e-01 	 4.943504e-01 	  4.450169e-01 	 2.669031e+00
5.905732e+02 	 5.423545e-01 	 4.930210e-01 	  4.436875e-01 	 2.700208e+00
5.315308e+02 	 5.407189e-01 	 4.913854e-01 	  4.420519e-01 	 2.724107e+00
4.783912e+02 	 5.387082e-01 	 4.893747e-01 	  4.400412e-01 	 2.740810e+00
4.305642e+02 	 5.362391e-01 	 4.869056e-01 	  4.375721e-01 	 2.750363e+00
3.875187e+02 	 5.332106e-01 	 4.838771e-01 	  4.345436e-01 	 2.752722e+00
3.487767e+02 	 5.295021e-01 	 4.801686e-01 	  4.308351e-01 	 2.747706e+00
3.139079e+02 	 5.249700e-01 	 4.756365e-01 	  4.263030e-01 	 2.734961e+00
2.825250e+02 	 5.194452e-01 	 4.701117e-01 	  4.207782e-01 	 2.713941e+00
2.542797e+02 	 5.127318e-01 	 4.633983e-01 	  4.140648e-01 	 2.683886e+00
