FIC-2101~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
4.180679e+00 	 3.101794e-02 	 6.194562e-03 	  0.000000e+00 	 4.825990e-02
3.762717e+00 	 3.101794e-02 	 6.194562e-03 	  0.000000e+00 	 0.000000e+00
3.386540e+00 	 3.101794e-02 	 6.194562e-03 	  0.000000e+00 	 0.000000e+00
3.047972e+00 	 3.101794e-02 	 6.194562e-03 	  0.000000e+00 	 0.000000e+00
2.743252e+00 	 3.101794e-02 	 6.194562e-03 	  0.000000e+00 	 0.000000e+00
2.468997e+00 	 3.101794e-02 	 6.194562e-03 	  0.000000e+00 	 0.000000e+00
2.222160e+00 	 3.101794e-02 	 6.194562e-03 	  0.000000e+00 	 0.000000e+00
2.000000e+00 	 3.101794e-02 	 6.194562e-03 	  0.000000e+00 	 0.000000e+00
 
FIC-2101~FI-2005  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 5.869832e-01 	 5.361351e-01 	  4.852870e-01 	 1.678101e+00
9.000254e+02 	 5.872883e-01 	 5.364402e-01 	  4.855921e-01 	 1.709347e+00
8.100456e+02 	 5.876553e-01 	 5.368072e-01 	  4.859591e-01 	 1.741225e+00
7.290616e+02 	 5.880938e-01 	 5.372457e-01 	  4.863976e-01 	 1.773145e+00
6.561739e+02 	 5.886135e-01 	 5.377653e-01 	  4.869172e-01 	 1.804554e+00
5.905732e+02 	 5.892222e-01 	 5.383741e-01 	  4.875260e-01 	 1.834974e+00
5.315308e+02 	 5.899250e-01 	 5.390769e-01 	  4.882288e-01 	 1.864037e+00
4.783912e+02 	 5.907201e-01 	 5.398720e-01 	  4.890239e-01 	 1.891493e+00
4.305642e+02 	 5.915944e-01 	 5.407463e-01 	  4.898982e-01 	 1.917195e+00
3.875187e+02 	 5.925163e-01 	 5.416682e-01 	  4.908201e-01 	 1.941059e+00
3.487767e+02 	 5.934255e-01 	 5.425774e-01 	  4.917293e-01 	 1.963005e+00
3.139079e+02 	 5.942178e-01 	 5.433697e-01 	  4.925216e-01 	 1.982877e+00
2.825250e+02 	 5.947264e-01 	 5.438783e-01 	  4.930302e-01 	 2.000337e+00
2.542797e+02 	 5.946961e-01 	 5.438480e-01 	  4.929999e-01 	 2.014746e+00
